source,target,tgt_lng
Server Configuration Tuning,服务器配置调优,
work_mem,工作内存,
postgresql.conf,postgresql.conf,
configuration reload,配置重载,
backend,后端,
database,数据库,
superuser,超级用户,
pg_reload_conf,pg_reload_conf,
HUP signal,HUP信号,
UNIX kill command,UNIX kill命令,
SIGHUP signal,SIGHUP信号,
server,服务器,
pg_ctl,pg_ctl,
database log files,数据库日志文件,
SHOW,SHOW,
pg_settings,pg_settings,
Commented-out settings,注释掉的设置,
postgresql.conf file,postgresql.conf 文件,
checkpoint_timeout,检查点超时,
sighup context setting,SIGHUP 上下文设置,
reload command,重载命令,
log file,日志文件,
LOG,日志,
SIGHUP,SIGHUP,
configuration files,配置文件,
parameter,参数,
SHOW command,SHOW 命令,
PostgreSQL administrators,PostgreSQL 管理员,
SHOW statement,SHOW 语句,
master postgresql.conf,主 postgresql.conf,
