source,target,tgt_lng
Server Configuration Tuning,服务器配置调优,
smarter planner,更智能的规划器,
current versions,当前版本,
better statistics,更好的统计信息,
memory parameters,内存参数,
query planner,查询规划器,
constraint_exclusion,约束排除,
PostgreSQL 8.3,PostgreSQL 8.3,
database's table inheritance feature,数据库表继承功能,
partitioning chapter,分区章节,
8.4,8.4,
partition,分区,
postgesql.conf file,postgesql.conf 文件,
poor guidance,不良指导,
server,服务器,
configuration,配置,
fsync,fsync,
crash recovery,崩溃恢复,
wal_sync_method,wal_sync_method,
WAL sync calls,WAL同步调用,
server crash,服务器崩溃,
database,数据库,
performance speedup,性能加速,
earlier PostgreSQL versions,早期PostgreSQL版本,
fsync calls,fsync调用,
reliability,可靠性,
performance,性能,
synchronous_commit,synchronous_commit,
Initial bulk loading,初始批量加载,
battery-backed write cache,电池备份写入缓存,
full_page_writes,full_page_writes,
partial page writes,部分页面写入,
commit_delay,commit_delay,
commit_siblings,commit_siblings,
I/O rate systems,I/O速率系统,
RAID stripe sizes,RAID条带大小,
max_prepared_transactions,max_prepared_transactions,
prepared statements,预处理语句,
SQL injection,SQL注入,
prepared transaction,预处理事务,
PREPARE TRANSACTION,PREPARE TRANSACTION,
two-phase commit,两阶段提交,
2PC,2PC,
