source,target,tgt_lng
Server Configuration Tuning,Server Configuration Tuning,
ALTER TABLE SET STATISTICS,ALTER TABLE SET STATISTICS,
Checkpoints,Checkpoints,
PostgreSQL,PostgreSQL,
checkpoint_segments,checkpoint_segments,
min_wal_size,min_wal_size,
max_wal_size,max_wal_size,
WAL,WAL,
automatic checkpoints,automatic checkpoints,
WAL disk usage,WAL disk usage,
checkpoint_timeout,checkpoint_timeout,
database recovery,database recovery,
database server downtime,database server downtime,
checkpoint_completion_target,checkpoint_completion_target,
checkpoint spreading,checkpoint spreading,
I/O,I/O,
work_mem,work_mem,
database,database,
memory,memory,
disk-based sort,disk-based sort,
data warehousing report,data warehousing report,
gigabyte,gigabyte,
client,client,
per-sort parameter,per-sort parameter,
RAM,RAM,
shared_buffers,shared_buffers,
OS caching,OS caching,
effective_cache_size,effective_cache_size,
max_connections,max_connections,
hash structures,hash structures,
memory allocation decision,memory allocation decision,
synchronous_commit,synchronous_commit,
random_page_cost,random_page_cost,
query optimization,query optimization,
planner,planner,
indexed queries,indexed queries,
sequential scan,sequential scan,
Windows,Windows,
Mac OS X,Mac OS X,
write-back caches,write-back caches,
database writes,database writes,
hard drive write cache,hard drive write cache,
wal_sync_method,wal_sync_method,
UNIX-like system,UNIX-like system,
write/fsync,write/fsync,
write/fdatasync,write/fdatasync,
synchronous write,synchronous write,
DSYNC,DSYNC,
SHOW,SHOW,
configuration file,configuration file,
open_datasync,open_datasync,
direct I/O,direct I/O,
operating system cache,operating system cache,
Linux,Linux,
fdatasync,fdatasync,
filesystem,filesystem,
ext3,ext3,
O_SYNC writes,O_SYNC writes,
corruption,corruption,
PANIC,PANIC,
open_sync,open_sync,
http://archives.postgresql.org/pgsql-hackers/2007-10/msg01310.php,http://archives.postgresql.org/pgsql-hackers/2007-10/msg01310.php,
2.6.32 kernels,2.6.32 kernels,
ext4 filesystem,ext4 filesystem,
smarter planner,smarter planner,
current versions,current versions,
better statistics,better statistics,
memory parameters,memory parameters,
query planner,query planner,
constraint_exclusion,constraint_exclusion,
PostgreSQL 8.3,PostgreSQL 8.3,
database's table inheritance feature,database's table inheritance feature,
partitioning chapter,partitioning chapter,
8.4,8.4,
partition,partition,
Tunables to avoid,Tunables to avoid,
postgesql.conf file,postgresql.conf file,
fsync,fsync,
crash recovery,crash recovery,
WAL sync calls,WAL sync calls,
server crash,server crash,
performance speedup,performance speedup,
PostgreSQL versions,PostgreSQL versions,
fsync calls,fsync calls,
OS cache,OS cache,
buffer cache,buffer cache,
effective_cache_size parameter,effective_cache_size parameter,
queries,queries,
per-client basis,per-client basis,
hardware chapter,hardware chapter,
physical disk commits,physical disk commits,
bottleneck,bottleneck,
transactions,transactions,
battery-backed write cache,battery-backed write cache,
commit speed,commit speed,
asynchronous commits,asynchronous commits,
wal_writer_delay parameter,wal_writer_delay parameter,
default settings,default settings,
client commit,client commit,
server,server,
data,data,
parameter,parameter,
single client,single client,
session,session,
server-wide choice,server-wide choice,
physical commit guarantees,physical commit guarantees,
activity monitoring table,activity monitoring table,
asynchronous commit,asynchronous commit,
real-world monetary transactions,real-world monetary transactions,
standard synchronous commit,standard synchronous commit,
segments,segments,
disk I/O curve,disk I/O curve,
OS-level monitoring,OS-level monitoring,
wal_buffers,WAL buffers,
transaction,transaction,
write-heavy benchmarks,write-heavy benchmarks,
shared memory,shared memory,
WAL segment,WAL segment,
server memory,server memory,
"Chapter 2, Database Hardware","Chapter 2, Database Hardware",
volatile write-back caches,volatile write-back caches,
server source code,server source code,
postgresql.conf,postgresql.conf,
initdb,initdb,
pull the cord test,pull the cord test,
PITR,Point-in-Time Recovery,
WAL replication,WAL replication,
archive_mode,archive mode,
archive_command,archive command,
archive_timeout,archive timeout,
Chapter 14,Chapter 14,
Scaling with Replication,Scaling with Replication,
Per-client settings,Per-client settings,
SET command,SET command,
filesystem cache,filesystem cache,
UNIX-like systems,UNIX-like systems,
free,free,
cached,cached,
top commands,top commands,
Windows Task Manager,Windows Task Manager,
Performance tab,Performance tab,
System Cache,System Cache,
