source,target,tgt_lng
Server Configuration Tuning,服务器配置调优,
Shared memory,共享内存,
shared_buffers,共享缓冲区,
Free space map,空闲空间映射,
VACUUM,VACUUM,
PostgreSQL 8.4,PostgreSQL 8.4,
PostgreSQL 8.3,PostgreSQL 8.3,
max_fsm_pages,最大空闲空间映射页数,
max_fsm_relations,最大空闲空间映射关系数,
Logging,日志记录,
log_destination,日志目标,
log_directory,日志目录,
log_filename,日志文件名,
CSV logging,CSV日志记录,
UNIX-like systems,类UNIX系统,
postgresql.conf,postgresql.conf,
pg_ctl,pg_ctl,
/etc/init.d/postgresql,/etc/init.d/postgresql,
